name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Fernanda Montenegro,1929-10-16,BRA
Tom Hanks,1956-07-09,USA
Wagner Moura,1976-06-27,BRA
Meryl Streep,1949-06-22,USA
Robert De Niro,1943-08-17,USA
Al Pacino,1940-04-25,USA
Denzel Washington,1954-12-28,USA
Morgan Freeman,1937-06-01,USA
Samuel L. Jackson,1948-12-21,USA
Brad Pitt,1963-12-18,USA
Johnny Depp,1963-06-09,USA
Will Smith,1968-09-25,USA
Tom Cruise,1962-07-03,USA
Harrison Ford,1942-07-13,USA
Scarlett Johansson,1984-11-22,USA
Jennifer Lawrence,1990-08-15,USA
Emma Stone,1988-11-06,USA
Natalie Portman,1981-06-09,USA
Anne Hathaway,1982-11-12,USA
Ryan Gosling,1980-11-12,USA
Jake Gyllenhaal,1980-12-19,USA
Christian Bale,1974-01-30,USA
Matthew McConaughey,1969-11-04,USA
Keanu Reeves,1964-09-02,USA
Sandra Bullock,1964-07-26,USA
Julia Roberts,1967-10-28,USA
Nicole Kidman,1967-06-20,USA
Cate Blanchett,1969-05-14,USA
Charlize Theron,1975-08-07,USA
Angelina Jolie,1975-06-04,USA
Jennifer Aniston,1969-02-11,USA
Reese Witherspoon,1976-03-22,USA
Ryan Reynolds,1976-10-23,USA
Chris Evans,1981-06-13,USA
Robert Downey Jr.,1965-04-04,USA
Chris Hemsworth,1983-08-11,USA
Mark Ruffalo,1967-11-22,USA
Benedict Cumberbatch,1976-07-19,USA
Idris Elba,1972-09-06,USA
Michael B. Jordan,1987-02-09,USA
Lupita Nyong'o,1983-03-01,USA
Zendaya,1996-09-01,USA
Timothée Chalamet,1995-12-27,USA
Anya Taylor-Joy,1996-04-16,USA
Rodrigo Santoro,1975-08-22,BRA
Alice Braga,1983-04-15,BRA
Selton Mello,1972-12-30,BRA
Fernanda Torres,1965-09-15,BRA
Paulo Gustavo,1978-10-30,BRA
Deborah Secco,1979-11-26,BRA
Juliana Paes,1979-03-26,BRA
Camila Pitanga,1977-06-14,BRA
Lázaro Ramos,1978-11-01,BRA
Seu Jorge,1970-06-08,BRA
Taís Araújo,1978-11-25,BRA
Bruna Marquezine,1995-08-04,BRA
Maisa Silva,2002-05-06,BRA
Marina Ruy Barbosa,1995-06-30,BRA
Isis Valverde,1987-02-17,BRA
Sophie Charlotte,1989-04-29,BRA
Débora Falabella,1979-02-22,BRA
Carolina Dieckmann,1978-09-16,BRA
Giovanna Antonelli,1976-03-18,BRA
Marcos Palmeira,1963-05-19,BRA
José Wilker,1947-08-20,BRA
Tony Ramos,1948-08-25,BRA
Antônio Fagundes,1949-04-18,BRA
Eduardo Moscovis,1968-09-04,BRA
Murilo Benício,1971-07-13,BRA
Fábio Assunção,1971-01-23,BRA
Cauã Reymond,1980-09-20,BRA
Dira Paes,1969-06-30,BRA
Patrícia Pillar,1964-01-11,BRA
Vera Fischer,1951-11-27,BRA
Regina Duarte,1947-02-05,BRA
Marília Pêra,1943-01-22,BRA
Paulo José,1937-03-20,BRA
José de Abreu,1942-05-02,BRA
Othon Bastos,1933-05-23,BRA
Fernanda Montenegro,1929-10-16,BRA
